pmid,gene_ID,host_DB,Species,Symbol
17432932,Afu1g14660,,Aspergillus fumigatus,laeA
19220748,Afu3g11250,,Aspergillus fumigatus,ace2
20545865,Afu3g05650,,Aspergillus fumigatus,orlA
22046314,Afu2g04210,,Aspergillus fumigatus,hmgX
23368997,Afu7g00170,,Aspergillus fumigatus,nscD
23368997,Afu7g00130,,Aspergillus fumigatus,nscR
23844980,Afu1g06210,,Aspergillus fumigatus,agm1
23996062,Afu4g02970,,Aspergillus fumigatus,TMEM16
24116213,Afu8g00420,,Aspergillus fumigatus,fumR
25582336,Afu6g03460,,Aspergillus fumigatus,fmpC
25582336,Afu6g03450,,Aspergillus fumigatus,fmpB
26242966,Afu4g14580,,Aspergillus fumigatus,tpcA
26242966,Afu4g14570,,Aspergillus fumigatus,tpcB
26242966,Afu4g14460,,Aspergillus fumigatus,tpcM
26242966,Afu4g14480,,Aspergillus fumigatus,tpcL
26242966,Afu4g14550,,Aspergillus fumigatus,tpcD
26529322,Afu7g02260,,Aspergillus fumigatus,somA
27048799,Afu3g07870,,Aspergillus fumigatus,agd3
27649508,Afu6g07980,,Aspergillus fumigatus,nimX
27649508,Afu3g14150,,Aspergillus fumigatus,fbx15
27649508,Afu3g09670,,Aspergillus fumigatus,oefC
30044771,Afu6g11110,,Aspergillus fumigatus,sclB
31131706,Afu6g06710,,Aspergillus fumigatus,cdc43
31548684,Afu5g14910,,Aspergillus fumigatus,cgnA
15722485,PF3D7_1314200,,Plasmodium falciparum,TERT
16507167,PF3D7_0202300,,Plasmodium falciparum,PF3D7_0202300
16507167,PF3D7_0301800,,Plasmodium falciparum,PF3D7_0301800
22970262,PF3D7_0201800,,Plasmodium falciparum,KAHsp40
23937520,PF3D7_1017100,,Plasmodium falciparum,RON12
24855263,PF3D7_1021800,,Plasmodium falciparum,SEA1
24877144,PF3D7_1329700,,Plasmodium falciparum,ACBP1
24913268,PF3D7_0507100,,Plasmodium falciparum,RPL4
24913268,PF3D7_0706400,,Plasmodium falciparum,RPL37
25011111,PF3D7_1355700,,Plasmodium falciparum,NIF3
25011111,PF3D7_1309200,,Plasmodium falciparum,PPM6
25011111,PF3D7_1138500,,Plasmodium falciparum,PPM2
25188378,PF3D7_0503300,,Plasmodium falciparum,SRSF12
25802338,PF3D7_0503600,,Plasmodium falciparum,MyoB
