pmid,gene_ID,host_db
10562315,PF3D7_0324500,PlasmoDB
11706051,TGME49_255190,ToxoDB
11733572,PF3D7_0402300,PlasmoDB
12021311,PCHAS_0702500,PlasmoDB
12021311,PBANKA_0901300,PlasmoDB
12057017,PF3D7_1414400,PlasmoDB
12057017,PKNH_1343700,PlasmoDB
12057017,PocGH01_13045400,PlasmoDB
12057017,PRCDC_1413700,PlasmoDB
12057017,PmUG01_13044000,PlasmoDB
12057017,PRELSG_1336700,PlasmoDB
12057017,PVP01_1334500,PlasmoDB
14737184,PF3D7_1342500,PlasmoDB
14737184,PBANKA_1355600,PlasmoDB
15230980,PCHAS_1020900,PlasmoDB
15230980,PF3D7_0802800,PlasmoDB
15230980,PF3D7_1423300,PlasmoDB
15230980,PKNH_1334700,PlasmoDB
15230980,PRCDC_1422600,PlasmoDB
15230980,PY17X_1022000,PlasmoDB
15722485,PF3D7_1314200,PlasmoDB
15722485,PRCDC_1313200,PlasmoDB
15774027,PF3D7_0212000,PlasmoDB
15774027,PF3D7_1208400,PlasmoDB
15774027,PF3D7_1469400,PlasmoDB
15939796,PF3D7_0800700,PlasmoDB
15939796,PF3D7_0424400,PlasmoDB
16027235,PBANKA_0304700,PlasmoDB
16039160,PF3D7_1132900,PlasmoDB
16042788,PCHAS_0615800,PlasmoDB
16042788,PCHAS_0705600,PlasmoDB
16042788,PCHAS_0830100,PlasmoDB
16042788,PCHAS_1237400,PlasmoDB
16042788,PCHAS_1465900,PlasmoDB
16042788,PF3D7_0110800,PlasmoDB
16042788,PF3D7_0522200,PlasmoDB
16042788,PF3D7_0716400,PlasmoDB
16042788,PF3D7_0929000,PlasmoDB
16042788,PF3D7_1144600,PlasmoDB
16042788,PF3D7_1250700,PlasmoDB
16042788,PBANKA_0614100,PlasmoDB
16042788,PBANKA_0829800,PlasmoDB
16042788,PBANKA_0904400,PlasmoDB
16042788,PBANKA_1236900,PlasmoDB
16042788,PBANKA_1463600,PlasmoDB
16042788,PKNH_0727300,PlasmoDB
16042788,PKNH_0942500,PlasmoDB
16042788,PKNH_1010700,PlasmoDB
16042788,PKNH_1012500,PlasmoDB
16042788,PGAL8A_00069400,PlasmoDB
16042788,PGAL8A_00372100,PlasmoDB
16042788,PGAL8A_00441800,PlasmoDB
16042788,PocGH01_09050700,PlasmoDB
16042788,PRCDC_0521300,PlasmoDB
16042788,PRCDC_0927000,PlasmoDB
16042788,PRCDC_1143000,PlasmoDB
16042788,PRELSG_0726600,PlasmoDB
16042788,PRELSG_0942000,PlasmoDB
16042788,PRELSG_1009600,PlasmoDB
16042788,PVP01_0727500,PlasmoDB
16042788,PVP01_0945300,PlasmoDB
16042788,PVP01_1011700,PlasmoDB
16042788,PY17X_0833100,PlasmoDB
16042788,PY17X_0905800,PlasmoDB
16042788,PY17X_1240200,PlasmoDB
16337017,PF3D7_1108300,PlasmoDB
16337017,PRCDC_1106800,PlasmoDB
16337017,PRELSG_0905500,PlasmoDB
16337017,PVP01_0909100,PlasmoDB
16343347,PCHAS_0210700,PlasmoDB
16343347,PCHAS_0812100,PlasmoDB
16343347,PCHAS_0901000,PlasmoDB
16343347,PCHAS_0907400,PlasmoDB
16343347,PCHAS_1008400,PlasmoDB
16343347,PCHAS_1104500,PlasmoDB
16343347,PF3D7_0409900,PlasmoDB
16343347,PF3D7_0505200,PlasmoDB
16343347,PF3D7_0728200,PlasmoDB
16343347,PF3D7_0910700,PlasmoDB
16343347,PF3D7_1103600,PlasmoDB
16343347,PF3D7_1110700,PlasmoDB
16343347,PBANKA_0212300,PlasmoDB
16343347,PBANKA_0811800,PlasmoDB
16343347,PBANKA_0936900,PlasmoDB
16343347,PBANKA_0943300,PlasmoDB
16343347,PBANKA_1007500,PlasmoDB
16343347,PBANKA_1104800,PlasmoDB
16343347,PKNH_0212800,PlasmoDB
16343347,PKNH_0308000,PlasmoDB
16343347,PKNH_0708700,PlasmoDB
16343347,PKNH_0901200,PlasmoDB
16343347,PKNH_0908400,PlasmoDB
16343347,PKNH_1028400,PlasmoDB
16343347,PGAL8A_00060500,PlasmoDB
16343347,PGAL8A_00423500,PlasmoDB
16343347,PocGH01_03017300,PlasmoDB
16343347,PRCDC_0407300,PlasmoDB
16343347,PRCDC_0504400,PlasmoDB
16343347,PRCDC_0725000,PlasmoDB
16343347,PRCDC_0908800,PlasmoDB
16343347,PRCDC_1102100,PlasmoDB
16343347,PRCDC_1109200,PlasmoDB
16343347,PRELSG_0307100,PlasmoDB
16343347,PRELSG_0708100,PlasmoDB
16343347,PRELSG_0900700,PlasmoDB
16343347,PVP01_0309200,PlasmoDB
16343347,PVP01_0709200,PlasmoDB
16343347,PVP01_0904400,PlasmoDB
16343347,PY17X_0815100,PlasmoDB
16343347,PY17X_0945800,PlasmoDB
16343347,PY17X_1008900,PlasmoDB
16428245,PCHAS_0408700,PlasmoDB
16428245,PCHAS_1039200,PlasmoDB
16428245,PF3D7_0309700,PlasmoDB
16428245,PF3D7_1403600,PlasmoDB
16428245,PBANKA_0407800,PlasmoDB
16428245,PBANKA_1038400,PlasmoDB
16428245,PKNH_0833000,PlasmoDB
16428245,PKNH_1354500,PlasmoDB
16428245,PGAL8A_00009000,PlasmoDB
16428245,PocGH01_08038700,PlasmoDB
16428245,PocGH01_13056000,PlasmoDB
16428245,PRCDC_0309000,PlasmoDB
16428245,PRCDC_1402900,PlasmoDB
16428245,PmUG01_08046500,PlasmoDB
16428245,PmUG01_13054700,PlasmoDB
16428245,PRELSG_0826000,PlasmoDB
16428245,PRELSG_1347400,PlasmoDB
16428245,PVP01_0830500,PlasmoDB
16428245,PVP01_1345200,PlasmoDB
16428245,PY17X_0410300,PlasmoDB
16428245,PY17X_1040800,PlasmoDB
16489263,PF3D7_1320400,PlasmoDB
16507167,PF3D7_0202100,PlasmoDB
16507167,PF3D7_0202300,PlasmoDB
16507167,PF3D7_0219700,PlasmoDB
16507167,PF3D7_0219900,PlasmoDB
16507167,PF3D7_0301500,PlasmoDB
16507167,PF3D7_0301800,PlasmoDB
16507167,PF3D7_0532200,PlasmoDB
16507167,PF3D7_0935700,PlasmoDB
