"gene_ID","pmid","has_summary","has_PD","host_db"
"PF3D7_0324500",10562315,TRUE,NA,"PlasmoDB"
"TGME49_255190",11706051,TRUE,NA,"ToxoDB"
"PF3D7_0402300",11733572,TRUE,NA,"PlasmoDB"
"PCHAS_0702500",12021311,TRUE,NA,"PlasmoDB"
"PBANKA_0901300",12021311,TRUE,NA,"PlasmoDB"
"PF3D7_1342500",14737184,TRUE,NA,"PlasmoDB"
"PBANKA_1355600",14737184,TRUE,NA,"PlasmoDB"
"PF3D7_1314200",15722485,TRUE,NA,"PlasmoDB"
"PRCDC_1313200",15722485,TRUE,NA,"PlasmoDB"
"PF3D7_0800700",15939796,TRUE,NA,"PlasmoDB"
"PF3D7_0424400",15939796,TRUE,NA,"PlasmoDB"
"PBANKA_0304700",16027235,TRUE,NA,"PlasmoDB"
"PF3D7_1132900",16039160,TRUE,NA,"PlasmoDB"
"PF3D7_1320400",16489263,TRUE,NA,"PlasmoDB"
"PBANKA_0408200",16796674,TRUE,NA,"PlasmoDB"
"PF3D7_1215000",16879648,TRUE,NA,"PlasmoDB"
"PF3D7_1114100",17000879,TRUE,NA,"PlasmoDB"
"PF3D7_0911900",17083274,TRUE,NA,"PlasmoDB"
"CNG02270",17112316,TRUE,NA,"FungiDB"
"CNAG_07724",17112316,TRUE,NA,"FungiDB"
"CNJ02920",17121456,TRUE,NA,"FungiDB"
"PBANKA_1319500",17335349,TRUE,NA,"PlasmoDB"
"PBANKA_0711600",17367780,TRUE,NA,"PlasmoDB"
"PF3D7_0819200",17367780,TRUE,NA,"PlasmoDB"
"Afu1g14660",17432932,TRUE,NA,"FungiDB"
"TGME49_266760",17784785,TRUE,NA,"ToxoDB"
"TGME49_316310",17784785,TRUE,NA,"ToxoDB"
"PF3D7_0628000",18093090,TRUE,NA,"PlasmoDB"
"PF3D7_0600800",18197962,TRUE,NA,"PlasmoDB"
"PF3D7_1465500",18218136,TRUE,NA,"PlasmoDB"
"PF3D7_1227200",18218136,TRUE,NA,"PlasmoDB"
"PF3D7_1223100",18248092,TRUE,NA,"PlasmoDB"
"CNAG_06242",18282105,TRUE,NA,"FungiDB"
"PRCDC_0420600",18320051,TRUE,NA,"PlasmoDB"
"PF3D7_0423400",18320051,TRUE,NA,"PlasmoDB"
"PF3D7_1131100",18365025,TRUE,NA,"PlasmoDB"
"PBANKA_1035200",18452513,TRUE,NA,"PlasmoDB"
"PY17X_0903500",18466298,TRUE,NA,"PlasmoDB"
"PY17X_1106500",18547337,TRUE,NA,"PlasmoDB"
"PF3D7_0505800",18547337,TRUE,NA,"PlasmoDB"
"PBANKA_0902100",18551171,TRUE,NA,"PlasmoDB"
"PF3D7_0310400",18551176,TRUE,NA,"PlasmoDB"
"PBANKA_0402200",18575607,TRUE,NA,"PlasmoDB"
"PF3D7_0402200",18593471,TRUE,NA,"PlasmoDB"
"Afu5g11260",18721228,TRUE,NA,"FungiDB"
"NCU09520",18803869,TRUE,NA,"FungiDB"
"PF3D7_0424100",18827878,TRUE,NA,"PlasmoDB"
"PRCDC_0421300",18827878,TRUE,NA,"PlasmoDB"
"PF3D7_1351600",19040641,TRUE,NA,"PlasmoDB"
"PBANKA_1229800",19064257,TRUE,NA,"PlasmoDB"
"PCHAS_1230500",19064257,TRUE,NA,"PlasmoDB"
"AN1029",19199437,TRUE,NA,"FungiDB"
"Afu3g11250",19220748,TRUE,NA,"FungiDB"
"PF3D7_1035400",19404387,TRUE,NA,"PlasmoDB"
