gene_ID,pmid,host_db,has_summary,has_PD
ACA1_028650,32602891,AmoebaDB,,
ACA1_053820,32602891,AmoebaDB,,
ACA1_053870,32602891,AmoebaDB,,
ACA1_053960,32602891,AmoebaDB,,
ACA1_054130,32602891,AmoebaDB,,
ACA1_068800,32602891,AmoebaDB,,
ACA1_096990,32602891,AmoebaDB,,
ACA1_141980,32602891,AmoebaDB,,
ACA1_151280,32602891,AmoebaDB,,
ACA1_171780,32602891,AmoebaDB,,
ACA1_174700,32602891,AmoebaDB,,
ACA1_191530,32602891,AmoebaDB,,
ACA1_260000,32602891,AmoebaDB,,
ACA1_276870,32602891,AmoebaDB,,
ACA1_279800,32602891,AmoebaDB,,
ACA1_293850,32602891,AmoebaDB,,
ACA1_297780,32602891,AmoebaDB,,
ACA1_500059,32602891,AmoebaDB,,
NF0006040,32602891,AmoebaDB,,
NF0006140,32602891,AmoebaDB,,
NF0009070,32602891,AmoebaDB,,
NF0009920,32602891,AmoebaDB,,
NF0010730,32602891,AmoebaDB,,
NF0019060,32602891,AmoebaDB,,
NF0046290,32602891,AmoebaDB,,
NF0063980,32602891,AmoebaDB,,
NF0068660,32602891,AmoebaDB,,
NF0083570,32602891,AmoebaDB,,
NF0113850,32602891,AmoebaDB,,
NF0116880,32602891,AmoebaDB,,
NF0124690,32602891,AmoebaDB,,
NF0131350,32602891,AmoebaDB,,
Tb05.5K5.80,19346560,TriTrypDB,,
Tb07.11L3.100,29474435,TriTrypDB,,
Tb1.NT.24,20838601,TriTrypDB,,
Tb1.NT.25,20838601,TriTrypDB,,
Tb1.NT.27,20838601,TriTrypDB,,
Tb10.NT.102,20838601,TriTrypDB,,
Tb10.NT.103,20838601,TriTrypDB,,
Tb10.NT.148,20838601,TriTrypDB,,
Tb10.NT.154,20838601,TriTrypDB,,
Tb10.NT.166,20838601,TriTrypDB,,
Tb10.NT.168,20838601,TriTrypDB,,
Tb10.NT.169,20838601,TriTrypDB,,
Tb10.NT.18,20838601,TriTrypDB,,
Tb10.NT.22,20838601,TriTrypDB,,
Tb10.NT.27,20838601,TriTrypDB,,
Tb10.NT.33,20838601,TriTrypDB,,
Tb10.NT.66,20838601,TriTrypDB,,
Tb10.NT.68,20838601,TriTrypDB,,
Tb10.NT.73,20838601,TriTrypDB,,
Tb10.NT.91,20838601,TriTrypDB,,
Tb10.NT.95,20838601,TriTrypDB,,
Tb10_snoRNA_0084:snoRNA,15840815,TriTrypDB,,
Tb11.02.5090,17610965,TriTrypDB,,
Tb11.02.5105,23221899,TriTrypDB,,
Tb11.02.5390,26572691,TriTrypDB,,
Tb11.02.5390,18073385,TriTrypDB,,
Tb11.02.5390b,37410820,TriTrypDB,,
