pmid,gene_id,paper_available,alias_in_text,Summary,generatePDs,verifyPDs
17112316,CNAG_07724,True,True,True,True,True
28655332,PBANKA_0824500,True,True,True,True,True
25859664,CNAG_05601,True,True,True,True,True
32395856,PY17X_0109900,True,True,True,True,True
23185236,PF3D7_1149000,True,True,True,True,True
32075881,TGME49_228170,True,True,True,True,True
34043960,TGME49_235140,True,True,True,True,True
19434237,PBANKA_1413100,True,True,True,True,True
27303728,CNAG_01978,True,True,True,True,True
38075902,TGME49_217540,True,True,True,True,True
23691177,CNAG_06290,True,True,True,True,True
34608145,TGME49_311080,True,True,True,True,True
18320051,PF3D7_0423400,True,True,True,True,True
18803869,NCU09520,True,True,True,True,True
35677776,TGME49_304680,True,True,True,True,True
28403234,NCU01362,True,True,True,True,True
18197962,PF3D7_0600800,True,True,True,True,True
22916306,CNAG_05392,True,True,True,True,True
31040239,TGME49_208740,True,True,True,True,True
31797898,PF3D7_0704600,True,True,True,True,True
38102310,PF3D7_1244500,True,True,True,True,True
23239939,TGME49_205670,True,True,True,True,True
38502570,TGME49_297245,True,True,True,True,True
20493843,PF3D7_1232300,True,True,True,True,True
28331073,TGME49_315510,True,True,True,True,True
35756016,TGME49_247195,True,True,True,True,True
28061020,CNAG_06465,True,True,True,True,True
32956401,PBANKA_0304800,True,True,True,True,True
17367780,PF3D7_0819200,True,True,True,True,True
26118994,PBANKA_1227400,True,True,True,True,True
36449552,TGME49_273030,True,True,True,True,True
37796022,TGME49_258060,True,True,True,True,True
20522492,NCU01789,True,True,True,True,True
27244695,PVP01_0701200,True,True,True,True,True
26635770,TGME49_258400,True,True,True,True,True
27247232,TGME49_286470,True,True,True,True,True
35972967,PF3D7_0704300,True,True,True,True,True
21401956,PVP01_1255000,True,True,True,True,True
34380472,PF3D7_1476700,True,True,True,True,True
21402362,CNAG_06346,True,True,True,True,True
23055925,CNAG_05794,True,True,True,True,True
33303967,TGME49_207710,True,True,True,True,True
35087229,PF3D7_1466200,True,True,True,True,True
31334132,PBANKA_0810400,True,True,True,True,True
24453970,PF3D7_1426700,True,True,True,True,True
35131263,Afu8g01260,True,True,True,True,True
32759683,TGME49_247230,True,True,True,True,True
28616073,NCU09033,True,True,True,True,True
37339985,TGME49_277090,True,True,True,True,True
28423062,Afu2g11780,True,True,True,True,True
35642006,TGME49_249900,True,True,True,True,True
29540177,PKNH_0728800,True,True,True,True,True
36761022,PY17X_0811300,True,True,True,True,True
30914506,TGME49_214620,True,True,True,True,True
36126089,PBANKA_0524300,True,True,True,True,True
23831369,PKNH_1466100,True,True,True,True,True
37628837,PF3D7_1031600,True,True,True,True,True
25765081,TGME49_316890,True,True,True,True,True
24505500,PBANKA_1449600,True,True,True,True,True
27932494,TGME49_256030,True,True,True,True,True
38416790,PF3D7_1367000,True,True,True,True,True
34956929,PocGH01_00129200,True,True,True,True,True
18721228,Afu5g11260,True,True,True,True,True
22970262,PRCDC_0200900,True,True,True,True,True
25411845,NCU08008,True,True,True,True,True
33521087,TGME49_266620,True,True,True,True,True
32471507,PF3D7_0617400,True,True,True,True,True
25703704,PF3D7_0936500,True,True,True,True,True
32047127,TGME49_263323,True,True,True,True,True
23734702,PVP01_0412300,True,True,True,True,True
30865554,TGME49_212880,True,True,True,True,True
21669237,TGME49_251410,True,True,True,True,True
30999945,PVP01_0730000,True,True,True,True,True
23106124,AN5525,True,True,True,True,True
30377279,TGME49_316250,True,True,True,True,True
25827419,CNAG_04247,True,True,True,True,True
33379267,PVP01_0532400,True,True,True,True,True
31779253,AN8501,True,True,True,True,True
30622189,TGME49_237015,True,True,True,True,True
21453402,CNG04130,True,True,True,True,True
23837822,PF3D7_0320000,True,True,True,True,True
20470832,TGME49_500160,True,True,True,True,True
31202684,PBANKA_1131900,True,True,True,True,True
30051161,TGME49_232500,True,True,True,True,True
38191574,TGME49_224700,True,True,True,True,True
24093777,PKNH_0913700,True,True,True,True,True
23742205,TGME49_296000,True,True,True,True,True
31068436,Afu1g11420,True,True,True,True,True
22912579,PF3D7_0309600,True,True,True,True,True
23996062,Afu4g02970,True,True,True,True,True
37704606,PBANKA_0407400,True,True,True,True,True
35984838,PF3D7_0707400,True,True,True,True,True
18218136,PF3D7_1465500,True,True,True,True,True
35107337,TGME49_241880,True,True,True,True,True
23049965,PF3D7_0613300,True,True,True,True,True
26112892,PF3D7_0805700,True,True,True,True,True
26862473,PVP01_1207600,True,True,True,True,True
31036909,TGME49_239010,True,True,True,True,True
19779564,PBANKA_1008200,True,True,True,True,True
34145271,TGME49_321650,True,True,True,True,True
37886905,TGME49_212270,True,True,True,True,True
33536500,PRCDC_1310800,True,True,True,True,True
23224610,PRELSG_0945100,True,True,True,True,True
27303694,TGME49_243930,True,True,True,True,True
36702847,TGME49_291050,True,True,True,True,True
21062375,Afu2g12330,True,True,True,True,True
28604779,PCHAS_0612000,True,True,True,True,True
32409604,TGME49_246950,True,True,True,True,True
27129434,PF3D7_0512900,True,True,True,True,True
30044771,AN0585,True,True,True,True,True
36476594,TGME49_200400,True,True,True,True,True
27551151,PBANKA_1326400,True,True,True,True,True
36326242,TGME49_254770,True,True,True,True,True
21569184,PF3D7_1036400,True,True,True,True,True
22984267,PF3D7_0207500,True,True,True,True,True
26920761,TGME49_279100,True,True,True,True,True
18547337,PY17X_1106500,True,True,True,True,True
23844980,Afu1g06210,True,True,True,True,True
15722485,PRCDC_1313200,True,True,True,True,True
27777305,PRCDC_1146600,True,True,True,True,True
30212465,PF3D7_0813700,True,True,True,True,True
30728393,TGME49_500223,True,True,True,True,True
23990790,FGRAMPH1_01G25093,True,True,True,True,True
26845441,PF3D7_0113700,True,True,True,True,True
21909263,PF3D7_1115200,True,True,True,True,True
25712266,AN1060,True,True,True,True,True
36310866,TGME49_231070,True,True,True,True,True
37027006,TGME49_315950,True,True,True,True,True
20345666,CNG03630,True,True,True,True,True
23940612,TGME49_315730,True,True,True,True,True
24037406,AN0756,True,True,True,True,True
25403493,FGRAMPH1_01G00223,True,True,True,True,True
21652778,CNAG_04217,True,True,True,True,True
30683097,PVP01_1253200,True,True,True,True,True
24572359,PCHAS_1439500,True,True,True,True,True
37398039,TGME49_204280,True,True,True,True,True
31094679,PVP01_0304700,True,True,True,True,True
33793004,TGME49_299080,True,True,True,True,True
38413566,PY17X_0210200,True,True,True,True,True
24118544,AN8677,True,True,True,True,True
36813769,TGME49_262150,True,True,True,True,True
27777305,PF3D7_1148700,True,True,True,True,True
19435497,PF3D7_1444500,True,True,True,True,True
23653445,CNA06560,True,True,True,True,True
25925592,PVP01_0317900,True,True,True,True,True
25375670,Afu4g03460,True,True,True,True,True
28655825,TGME49_223125,True,True,True,True,True
30158461,TGME49_231870,True,True,True,True,True
20345666,CNAG_07718,True,True,True,True,True
37244916,PF3D7_1359900,True,True,True,True,True
22860032,TGME49_272900,True,True,True,True,True
32228600,PocGH01_04023000,True,True,True,True,True
30320549,TGME49_288840,True,True,True,True,True
24983468,PF3D7_0936800,True,True,True,True,True
35484233,TGME49_268210,True,True,True,True,True
23437009,PF3D7_1360100,True,True,True,True,True
34384491,TGME49_243298,True,True,True,True,True
20361051,PBANKA_0813000,True,True,True,True,True
19040641,PF3D7_1351600,True,True,True,True,True
23137753,PBANKA_1427100,True,True,True,True,True
22046314,Afu2g04210,True,True,True,True,True
18365025,PF3D7_1131100,True,True,True,True,True
32266169,PVP01_1435400,True,True,True,True,True
29976642,CNAG_03781,True,True,True,True,True
23587146,PY17X_1357700,True,True,True,True,True
30023525,PVP01_0114800,True,True,True,True,True
32541034,Afu1g02580,True,True,True,True,True
24722578,FGRAMPH1_01G00855,True,True,True,True,True
24877144,PF3D7_1329700,True,True,True,True,True
32060530,TGME49_225940,True,True,True,True,True
27165800,CNAG_06465,True,True,True,True,True
32318061,PF3D7_1035900,True,True,True,True,True
36602948,TGGT1_292020,True,True,True,True,True
32343703,PF3D7_1434300,True,True,True,True,True
23356439,PY17X_0719200,True,True,True,True,True
30581686,PKNH_0303000,True,True,True,True,True
24116213,Afu8g00420,True,True,True,True,True
29636493,PKNH_0515300,True,True,True,True,True
18093090,PF3D7_0628000,True,True,True,True,True
29338542,CNAG_01319,True,True,True,True,True
33557824,TGME49_209755,True,True,True,True,True
35404079,PF3D7_1213500,True,True,True,True,True
30026605,PF3D7_1362200,True,True,True,True,True
20584882,PBANKA_0205800,True,True,True,True,True
25012929,PY17X_0304500,True,True,True,True,True
25411845,NCU06265,True,True,True,True,True
29325573,PmUG01_12018200,True,True,True,True,True
29420579,NCU02193,True,True,True,True,True
27725738,PVP01_1229700,True,True,True,True,True
36449552,TGME49_222910,True,True,True,True,True
20386715,PBANKA_0306000,True,True,True,True,True
22174677,CNC01390,True,True,True,True,True
20545865,Afu3g05650,True,True,True,True,True
25279949,NCU10518,True,True,True,True,True
27077707,NCU07191,True,True,True,True,True
17121456,CNJ02920,True,True,True,True,True
38500196,TGME49_290170,True,True,True,True,True
23251520,CNA01450,True,True,True,True,True
23785288,PF3D7_0312100,True,True,True,True,True
30483479,CNAG_01983,True,True,True,True,True
31344067,PmUG01_07042000,True,True,True,True,True
28874473,AN9517,True,True,True,True,True
30362624,TGME49_270690,True,True,True,True,True
33803212,TGME49_234380,True,True,True,True,True
24685055,TGME49_260600,True,True,True,True,True
37219373,PF3D7_1136600,True,True,True,True,True
20658557,TGME49_243545,True,True,True,True,True
37704606,PBANKA_0405600,True,True,True,True,True
38191574,TGME49_500200,True,True,True,True,True
23762321,AN3621,True,True,True,True,True
18551171,PBANKA_0902100,True,True,True,True,True
34523684,TGME49_263300,True,True,True,True,True
22024312,PKNH_0304000,True,True,True,True,True
24581151,NCU05064,True,True,True,True,True
19428658,PKNH_1472300,True,True,True,True,True
30377279,TGME49_208370,True,True,True,True,True
16489263,PF3D7_1320400,True,True,True,True,True
31091451,TGME49_290720,True,True,True,True,True
25761669,PKNH_1258400,True,True,True,True,True
33303633,PVP01_1260800,True,True,True,True,True
31866984,PF3D7_1123400,True,True,True,True,True
23935500,PBANKA_1459200,True,True,True,True,True
